,PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,year
1,Greg Luzinski,CWS,144,502,73,128,26,1,32,95,70,117,2,1,.255,.352,.502,.854,1983
2,Hal McRae,KC,157,589,84,183,41,6,12,82,50,68,2,3,.311,.372,.462,.834,1983
3,Ken Singleton,BAL,151,507,52,140,21,3,18,84,99,83,0,2,.276,.393,.436,.829,1983
4,Andre Thornton,CLE,141,508,78,143,27,1,17,77,87,72,4,2,.281,.383,.439,.822,1983
0,Mike Easler,BOS,156,601,87,188,31,5,27,91,58,134,1,1,.313,.376,.516,.892,1984
1,Andre Thornton,CLE,155,587,91,159,26,0,33,99,91,79,6,5,.271,.366,.484,.850,1984
2,Don Baylor,NYY,134,493,84,129,29,1,27,89,38,68,1,1,.262,.341,.489,.830,1984
3,Dave Kingman,OAK,147,549,68,147,23,1,35,118,44,119,2,1,.268,.321,.505,.826,1984
4,Reggie Jackson,CAL,143,525,67,117,17,2,25,81,55,141,8,4,.223,.300,.406,.706,1984
5,Ted Simmons,MIL,132,497,44,110,23,2,4,52,30,40,3,0,.221,.269,.300,.569,1984
0,Gorman Thomas,SEA,135,484,76,104,16,1,32,87,84,126,3,2,.215,.330,.450,.780,1985
1,Don Baylor,NYY,142,477,70,110,24,1,23,91,52,90,0,4,.231,.330,.430,.760,1985
2,Ted Simmons,MIL,143,528,60,144,28,2,12,76,57,32,1,1,.273,.342,.402,.744,1985
3,Mike Easler,BOS,155,568,71,149,29,4,16,74,53,129,0,1,.262,.325,.412,.737,1985
4,Dave Kingman,OAK,158,592,66,141,16,0,30,91,62,114,3,2,.238,.309,.417,.726,1985
5,Andre Thornton,CLE,124,461,49,109,13,0,22,88,47,75,3,2,.236,.304,.408,.712,1985
0,Larry Parrish,TEX,129,464,67,128,22,1,28,94,52,114,3,1,.276,.347,.509,.856,1986
1,Mike Easler,NYY,146,490,64,148,26,2,14,78,49,87,3,2,.302,.362,.449,.811,1986
2,Reggie Jackson,CAL,132,419,65,101,12,2,18,58,92,115,1,1,.241,.379,.408,.787,1986
3,Don Baylor,BOS,160,585,93,139,23,1,31,94,62,111,3,5,.238,.344,.439,.783,1986
4,Roy Smalley,MIN,143,459,59,113,20,4,20,57,68,80,1,3,.246,.342,.438,.780,1986
5,Dave Kingman,OAK,144,561,70,118,19,0,35,94,33,126,3,3,.210,.255,.431,.686,1986
0,Paul Molitor,MIL,118,465,114,164,41,5,16,75,69,67,45,10,.353,.438,.566,1.004,1987
1,Brian Downing,CAL,155,567,110,154,29,3,29,77,106,85,5,5,.272,.400,.487,.887,1987
2,Harold Baines,CWS,132,505,59,148,26,4,20,93,46,82,0,0,.293,.352,.479,.831,1987
3,Larry Parrish,TEX,152,557,79,149,22,1,32,100,49,154,3,1,.268,.328,.483,.811,1987
0,Jack Clark,NYY,150,496,81,120,14,0,27,93,113,141,3,2,.242,.381,.433,.814,1988
1,Brian Downing,CAL,135,484,80,117,18,2,25,64,81,63,3,4,.242,.362,.442,.804,1988
2,Harold Baines,CWS,158,599,55,166,39,1,13,81,67,109,0,0,.277,.347,.411,.758,1988
3,Gene Larkin,MIN,149,505,56,135,30,2,8,70,68,55,3,2,.267,.368,.382,.750,1988
4,Jim Rice,BOS,135,485,57,128,18,3,15,72,48,89,1,1,.264,.330,.406,.736,1988
5,Larry Sheets,BAL,136,452,38,104,19,1,10,47,42,72,1,6,.230,.302,.343,.645,1988
0,Harold Baines,TEX,146,505,73,156,29,1,16,72,73,79,0,3,.309,.395,.465,.860,1989
1,Brian Downing,CAL,142,544,59,154,25,2,14,59,56,87,0,2,.283,.354,.414,.768,1989
2,Dave Parker,OAK,144,553,56,146,27,0,22,97,38,91,0,0,.264,.308,.432,.740,1989
3,Jeffrey Leonard,SEA,150,566,69,144,20,1,24,93,38,125,6,1,.254,.301,.420,.721,1989
0,Alvin Davis,SEA,140,494,63,140,21,0,17,68,85,68,0,2,.283,.387,.429,.816,1990
1,Chris James,CLE,140,528,62,158,32,4,12,70,31,71,4,3,.299,.341,.443,.784,1990
2,Dave Parker,MIL,157,610,71,176,30,3,21,92,41,102,4,7,.289,.330,.451,.781,1990
3,Dwight Evans,BOS,123,445,66,111,18,3,13,63,67,73,3,4,.249,.349,.391,.740,1990
4,Gerald Perry,KC,133,465,57,118,22,2,8,57,39,56,17,4,.254,.313,.361,.674,1990
0,Frank Thomas,CWS,158,559,104,178,31,2,32,109,138,112,1,2,.318,.453,.553,1.006,1991
1,Chili Davis,MIN,153,534,84,148,34,1,29,93,95,117,5,6,.277,.385,.507,.892,1991
